"seqnames"	"start"	"end"	"width"	"strand"	"L"
"1"	"chr1"	"778393"	"779343"	"951"	"*"	"134"
"2"	"chr1"	"819984"	"823566"	"3583"	"*"	"37"
"3"	"chr1"	"825918"	"827787"	"1870"	"*"	"91"
"4"	"chr1"	"850161"	"852127"	"1967"	"*"	"36"
"5"	"chr1"	"855210"	"856553"	"1344"	"*"	"27"
"6"	"chr1"	"869612"	"870247"	"636"	"*"	"82"
"7"	"chr1"	"873858"	"874263"	"406"	"*"	"26"
"8"	"chr1"	"898067"	"898979"	"913"	"*"	"36"
"9"	"chr1"	"902156"	"905305"	"3150"	"*"	"59"
"10"	"chr1"	"910413"	"914198"	"3786"	"*"	"76"
"11"	"chr1"	"918496"	"926591"	"8096"	"*"	"241"
"12"	"chr1"	"935411"	"937076"	"1666"	"*"	"54"
"13"	"chr1"	"944531"	"953854"	"9324"	"*"	"100"
"14"	"chr1"	"955770"	"968219"	"12450"	"*"	"189"
"15"	"chr1"	"980921"	"986725"	"5805"	"*"	"102"
"16"	"chr1"	"998009"	"1001590"	"3582"	"*"	"99"
"17"	"chr1"	"1003525"	"1008262"	"4738"	"*"	"105"
"18"	"chr1"	"1010707"	"1014605"	"3899"	"*"	"144"
"19"	"chr1"	"1017222"	"1022979"	"5758"	"*"	"40"
"20"	"chr1"	"1040172"	"1040898"	"727"	"*"	"36"
"21"	"chr1"	"1043018"	"1048043"	"5026"	"*"	"79"
"22"	"chr1"	"1053132"	"1056306"	"3175"	"*"	"86"
"23"	"chr1"	"1064163"	"1070053"	"5891"	"*"	"72"
"24"	"chr1"	"1082772"	"1089025"	"6254"	"*"	"107"
"25"	"chr1"	"1090819"	"1095336"	"4518"	"*"	"32"
"26"	"chr1"	"1106505"	"1107995"	"1491"	"*"	"36"
"27"	"chr1"	"1109933"	"1112167"	"2235"	"*"	"82"
"28"	"chr1"	"1114403"	"1118581"	"4179"	"*"	"201"
"29"	"chr1"	"1120955"	"1123309"	"2355"	"*"	"35"
"30"	"chr1"	"1126127"	"1134968"	"8842"	"*"	"177"
"31"	"chr1"	"1137466"	"1141003"	"3538"	"*"	"33"
